ID варианта товара,Артикул,Название товара,Цена продажи,Остаток
220316290,"Чай черный Ahmad tea Indian assam tea, 100 г",ВОQ129406484,120.0,120.0
220317747,"Чай черный Ahmad tea Ceylon в пакетиках, 100 шт",ВОQ129407706,269.0,269.0
220318069,"Чай черный Ahmad tea Ceylon в пакетиках, 25 шт",ВОQ129407953,75.0,75.0
220318197,"Чай зеленый Ahmad tea Chinese в пакетиках, 25 шт",ВОQ129408062,49.0,49.0
220318655,"Чай черный Ahmad tea English breakfast в пакетиках, 100 шт",ВОQ129408408,263.0,263.0
220319151,"Чай черный Ahmad tea English breakfast в пакетиках, 25 шт",ВОQ129408860,71.0,71.0
220319557,"Чай черный Ahmad tea Earl grey в пакетиках, 100 шт",ВОQ129409225,254.0,254.0
220320086,"Чай черный Tess Ceylon, 100 гр",ВОQ129409702,64.0,64.0
220321009,"Чай черный Tess Earl grey, 100 гр",ВОQ129410336,66.0,66.0
220322292,"Чай черный Tess Thyme в пакетиках, 100  шт",ВОQ129411165,120.0,120.0
220326946,"Чайный напиток травяной Greenfield Camomile Meadow в пакетиках, 25 шт",ВОQ129414825,61.0,61.0
220328599,"Чай зеленый Greenfield Jasmine Dream в пакетиках, 100 шт",ВОQ129416362,213.0,213.0
220329663,"Чайный напиток травяной Greenfield Rich Camomile в пакетиках, 25 шт",ВОQ129416939,68.0,68.0
220330509,"Чай черный Greenfield Vanilla Cranberry в пакетиках, 25 шт",ВОQ129417593,67.0,67.0
220331945,"Чай черный Greenfield Earl Grey Fantasy в пакетиках, 100 шт",ВОQ129418844,196.0,196.0
220333059,"Чай черный Lipton Yellow label в пакетиках, 25 шт",ВОQ129419624,30.0,30.0
220333400,"Чай черный Lipton Yellow label в пакетиках, 100 шт",ВОQ129419890,118.0,118.0
220334202,"Чай черный Lipton Forest Fruit в пирамидках, 20 шт",ВОQ129420615,50.0,50.0
220399793,"Чай черный Ahmad tea Earl grey в пакетиках, 25 шт",ВОQ129471073,70.0,70.0
220463366,"Чай черный Ahmad tea Ceylon tea F.B.O.P.F. high mountain, 100 г",ВОQ129517524,120.0,120.0
220673462,Кофе в зернах Paulig Mokka 1000 г,129640863,485.0,485.0
220674093,"Кофе молотый Lavazza Qualita Oro, 250 г, вакуумная упаковка",129641173,271.0,271.0
220674522,"Кофе молотый Lavazza Crema e Gusto, 250 г",129641579,193.0,193.0
220674774,"Кофе молотый Lavazza Caffe Espresso, 250 г, вакуумная упаковка",129641741,274.0,274.0
220675189,Кофе в зернах Movenpick Espresso 1000 г,129642040,910.0,910.0
220675531,Кофе молотый Movenpick der Himmlische 500 г,129642195,479.0,479.0
220675918,Кофе молотый Movenpick El Autentico 500 г,129642295,475.0,475.0
221978110,Кофе молотый Dallmayr Espresso Monaco,130441373,330.0,330.0
222168113,"Кофе в зернах Lavazza Top Class, 1 кг",130546960,1210.0,1210.0
222169783,"Кофе в зернах Lavazza Tierra Selection, 1 кг",130548327,1288.0,1288.0
222170552,"Кофе молотый Lavazza Qualita Oro, 125 г, вакуумная упаковка",130549031,125.0,125.0
222173507,"Кофе растворимый Lavazza Prontissimo Intenso с молотым кофе, 95 г",130551194,270.0,270.0
222570890,"Кофе в зернах Lavazza Qualita Oro, 1 кг",130782137,1010.0,1010.0
222576052,"Кофе растворимый Nescafe Gold, пакет, 900 г",ВОQ130786434,890.0,890.0
222576452,"Кофе растворимый Nescafe Gold, пакет 500 г",ВОQ130786750,580.0,580.0
223855668,Кофе в зернах ILLY Гватемала 250 мл,131445440,684.0,684.0
223857631,"Капсулы Carraro Primo Mattino системы Nespresso, 10 шт",131446877,195.0,195.0
223862331,"Капсулы Carraro Puro Arabica системы Nespresso, 10 шт",131450734,195.0,195.0
223864291,"Капсулы Carraro Decaffeinato системы Nespresso, 10 шт",131451878,195.0,195.0
223864870,"Капсулы Carraro  Crema Espresso системы Nespresso, 10 шт",131452240,195.0,195.0
224000211,Finish All in 1 таблетки (original) для посудомоечной машины 13 шт,131532662,195.0,195.0
224001085,Finish Classic таблетки для посудомоечной машины 90 шт,131533386,1230.0,1230.0
224661280,Finish All in 1 таблетки (original) для посудомоечной машины 50 шт,131875721,598.0,598.0
224663669,Finish Quantum таблетки (original) для посудомоечной машины 40 шт,131877800,715.0,715.0
224812606,Набор кофе молотый Lavazza Оро 2 х 250гр + чашка,131982809,720.0,720.0
226338113,ЧАЙ ZYLANICA зеленый Ceylon Premium Collection GP1 100 гр.,132674181,195.0,195.0
226338197,ЧАЙ ZYLANICA зеленый Ceylon Premium Collection GP1 200 гр.,132674256,350.0,350.0
226338899,Чай черный Zylanica Ceylon Premium Collection OPА листовой 200 гр.,132674719,242.0,242.0
226339552,ЧАЙ ZYLANICA чёрный бергамот Ceylon Premium Collection FBOP 100 гр.,132675193,185.0,185.0
226339863,"ЧАЙ ZYLANICA зелёный в пакетиках Ceylon Premium Collection , 100 шт",132675424,359.0,359.0
226340109,Чай черный Zylanica Ceylon Premium в пакетиках 100 шт,132675610,415.0,415.0
226342247,ЧАЙ красный Небесный Аромат Дянь Хун 120 гр,ВОQ132677112,235.0,235.0
226342767,ЧАЙ зелёный Небесный Аромат жасминовый 120 гр,ВОQ132677472,168.0,168.0
226343452,Чай зеленый Небесный Аромат традиционный китайский 120 гр,ВОQ132678068,168.0,168.0
226343990,Чай улун Небесный аромат Тегуаньинь Черный дракон,ВОQ132678487,182.0,182.0
226344307,ЧАЙ Пуэр Небесный Аромат 120 гр,ВОQ132678764,335.0,335.0
226401369,ЧАЙ Конфуций 7 трав для сна + 7 трав для спокойствия 120 гр,132719287,265.0,265.0
226407578,ЧАЙ Конфуций Пу Эр 5-6 лет Китайский гороскоп  100 гр,132725308,298.0,298.0
226407690,Чай пуэр Конфуций 7 звезд 100 гр,132725371,285.0,285.0
226407808,Чай зеленый Тянь Жень листовой 100 гр,ВОQ132725436,210.0,210.0
226408060,ЧАЙ улун Тянь Жень Молочный Улун 100 гр,ВОQ132725544,225.0,225.0
226408305,ЧАЙ пуэр Тянь Жень 100 гр,ВОQ132725646,255.0,255.0
226408523,Чай Тянь Жень китайский чёрный листовой 100 гр,ВОQ132725705,245.0,245.0
226408571,Кофе в капсулах Живой Кофе Espresso Strong 10 шт.,132725729,257.0,257.0
226464863,ЧАЙ Чёрный дракон Пу Эр 30 гр,132758821,90.0,90.0
226465333,ЧАЙ Чёрный Дракон зелёный Тегуаньинь 30 гр,132759093,49.0,49.0
226465761,ЧАЙ Чёрный Дракон зелёный 30 гр,132759299,49.0,49.0
226465867,ЧАЙ Чёрный Дракон зелёный жасминовый 30 гр,132759377,49.0,49.0
226693252,Чай черный Basilur Leaf of Ceylon Uva в пакетиках 100 шт,132890050,350.0,350.0
226695899,Чай черный Basilur The island of tea Ceylon Gold в пакетиках 100 шт,132891537,389.0,389.0
226897594,"Гель для стирки Ariel Горный родник 1,95 л",133014807,590.0,590.0
226898040,"Гель для стирки Ariel Color 1,95 л",133015150,390.0,390.0
226898318,"Гель для стирки Ariel Touch of Lenor Fresh 1,95 л",133015327,390.0,390.0
226898421,Капсулы Tide 3 in 1 Pods Color 15 шт,133015422,312.0,312.0
226899151,Капсулы Tide 3 in 1 Pods Color 12 шт,133015878,270.0,270.0
226899495,Капсулы Ariel PODS 3-в-1 Горный родник 23 шт,133016019,490.0,490.0
226899726,Капсулы Ariel PODS 3-в-1 Color 23 шт,133016155,398.0,398.0
227136498,"Капсулы Saquella Bar Italia Gran Cru системы Nespresso, 10 шт",133146362,280.0,280.0
227138589,"Капсулы Saquella Bar Italia Espresso Decafeine системы Nespresso, 10 шт",133147963,280.0,280.0
227139447,"Капсулы Saquella Bar Italia Espresso Intenso системы Nespresso, 10 шт",133148690,280.0,280.0
227139681,"Капсулы Saquella Bar Italia Bella Crema системы Nespresso, 10 шт",133148850,280.0,280.0
227446301,"Кофе молотый Lavazza Qualita Oro жестяная банка, 250 г",133357728,300.0,300.0
227446691,"Кофе молотый Lavazza Club жестяная банка, 250 г",133357991,287.0,287.0
227476106,Кофе Me Trang MCi 2 в 1 растворимый 500 гр,133371576,358.0,358.0
227476778,Кофе Me Trang MCi 3 в 1 растворимый 500 гр,133372154,400.0,400.0
227480821,"Марципановая буханка Zentis Edelmarzipan, 125 гр",КВQ133375659,98.0,98.0
227904939,Fairy Original All in 1 капсулы (лимон) для посудомоечной машины 60 шт,133625943,535.0,535.0
227905395,Fairy Platinum All in 1 капсулы (лимон) для посудомоечной машины 50 шт,133626091,545.0,545.0
228000721,Чай Матча Tra Sao Vang 100 гр,133682498,439.0,439.0
228028522,Чай Матча Kimono Cozy 100 гр,133704380,443.0,443.0
228033179,Чай Матча Neicha 100 гр,133707645,487.0,487.0
228036215,Чай Ходзича Houjicha Latte 200 гр,133710098,536.0,536.0
228344074,Кофе молотый ILLY MOKA средняя обжарка 250 г,133893940,600.0,600.0
228347228,"Кофе в зернах PLANTEUR Des Tropiques QUALITE OR, 1 кг",133896225,935.0,935.0
229123681,Чай черный Basilur Oriental collection Masala chai 100 гр,134336001,210.0,210.0
229123846,Чай улун Basilur Chinese collection Milk oolong 100 гр,134336065,260.0,260.0
229610846,Кофе в зёрнах Pellini Top 1кг,134620937,2190.0,2190.0
229611295,Кофе в зернах Pellini Aroma Oro  1кг,134621305,1710.0,1710.0
229612940,Кофе в зернах Pellini Gusto Intenso Aroma Oro  1кг,134622361,1530.0,1530.0
229613163,Кофе в зернах Pellini N82 Vivace 1кг,134622489,1380.0,1380.0
229613413,Кофе в зернах Pellini N82 Vivace  500 г,134622667,689.0,689.0
229613540,Кофе молотый Pellini Top 250 гр,134622779,640.0,640.0
229614272,Кофе в зернах Lofbergs Continental Blend 1 кг,134623320,1150.0,1150.0
229614800,Кофе в зернах Lofbergs Medium Roast 1 кг,134623667,1320.0,1320.0
229615069,Кофе в зернах Lofbergs Kharisma 400 гр,134623848,475.0,475.0
229615392,Кофе в зернах Lofbergs Espresso 400 гр,134624077,470.0,470.0
229615739,Кофе в зернах Lofbergs Jubileum 400 гр,134624389,475.0,475.0
229615937,Кофе в зернах Lofbergs Magnifika 400 гр,134624584,505.0,505.0
229616435,Кофе в зернах Lofbergs Crescendo Hella 400 гр,134624941,500.0,500.0
229616575,Кофе молотый Lofbergs Medium Roast IN CUP 250 гр,134625045,290.0,290.0
229616736,Кофе молотый Lofbergs Medium Roast 500 гр,134625140,520.0,520.0
229616810,Кофе молотый Lofbergs Jubileum 500 гр,134625208,520.0,520.0
229813321,Кофе в зернах Lofbergs Fazenda 1 кг,134733046,1150.0,1150.0
229996715,Кофе TURQUINO молотый 250 гр (разгерметизированный),134856191,200.0,200.0
230564609,Кофе в зернах Carraro Globo Marrone 1 кг,135117920,630.0,630.0
230566661,Кофе в зернах Carraro Globo Verde 1 кг,135118086,695.0,695.0
230567268,Кофе в зернах Carraro Crema Espresso 1 кг,135118136,950.0,950.0
230573101,Кофе в зернах Carraro Globo Oro 1 кг,135118527,995.0,995.0
230578671,Кофе в зернах Carraro Globo Arabica 1 кг,135119060,1090.0,1090.0
230579587,Кофе в зернах Carraro Super Bar  1 кг,135119154,1030.0,1030.0
